iter	Passed	Remaining
474	695	768
475	696	767
476	698	765
477	699	764
478	701	763
479	702	761
480	704	759
481	705	757
482	706	756
483	707	754
484	708	752
485	709	750
486	711	748
487	712	747
488	713	745
489	715	744
490	716	742
491	717	740
492	718	739
493	720	737
494	721	736
495	722	734
496	723	732
497	725	730
498	726	729
499	727	727
500	728	725
501	730	724
502	731	722
503	732	721
504	733	719
505	735	717
506	736	715
507	737	714
508	738	712
509	739	710
510	740	709
511	742	707
512	743	706
513	745	704
514	746	703
515	747	701
516	748	699
517	750	697
518	751	696
519	752	694
520	753	692
521	754	691
522	755	689
523	756	687
524	758	685
525	759	684
526	760	682
527	761	681
528	763	679
529	764	677
530	765	676
531	766	674
532	767	672
533	768	670
534	769	669
535	771	667
536	772	666
537	773	664
538	775	662
539	776	661
540	777	659
541	778	657
542	779	656
543	781	654
544	782	653
545	783	651
546	784	650
547	786	648
548	789	648
549	791	647
550	792	645
551	794	644
552	797	644
553	799	644
554	802	643
555	803	641
556	805	640
557	807	639
558	808	638
559	810	636
560	811	635
561	813	633
562	815	632
563	816	631
564	818	630
565	820	629
566	822	627
567	823	626
568	825	625
569	827	624
570	828	622
571	830	621
572	831	619
573	833	618
574	835	617
575	836	615
576	838	614
577	839	613
578	841	611
579	842	610
580	844	608
581	845	607
582	846	605
583	848	604
584	850	602
585	851	601
586	852	600
587	854	598
588	856	597
589	857	596
590	859	594
591	860	593
592	861	591
593	863	590
594	865	588
595	866	587
596	868	585
597	869	584
598	870	583
599	872	581
600	873	579
601	875	578
602	876	576
603	877	575
604	879	574
605	881	573
606	883	571
607	884	570
608	885	568
609	887	567
610	888	565
611	890	564
612	892	563
613	894	562
614	895	560
615	898	559
616	899	558
617	900	556
618	902	555
619	903	553
620	905	552
621	906	550
622	908	549
623	912	549
624	913	548
625	915	546
626	916	545
627	918	543
628	919	542
629	921	541
630	922	539
631	924	538
632	926	537
633	928	536
634	929	534
635	931	533
636	933	531
637	934	530
638	936	528
639	937	527
640	939	526
641	941	524
642	943	523
643	944	522
644	946	521
645	953	522
646	960	523
647	962	522
648	964	521
649	966	520
650	971	520
651	986	526
652	988	525
653	990	523
654	992	522
655	993	521
656	995	519
657	997	518
658	1000	517
659	1003	516
660	1004	515
661	1006	514
662	1008	512
663	1010	511
664	1014	510
665	1016	509
666	1018	508
667	1020	507
668	1022	505
669	1024	504
670	1025	502
671	1027	501
672	1028	499
673	1030	498
674	1031	496
675	1033	495
676	1034	493
677	1036	492
678	1037	490
679	1039	489
680	1041	487
681	1043	486
682	1046	485
683	1048	484
684	1050	483
685	1052	481
686	1053	479
687	1054	478
688	1056	476
689	1057	475
690	1059	473
691	1060	472
692	1062	470
693	1063	468
694	1065	467
695	1066	465
696	1067	464
697	1069	462
698	1070	461
699	1071	459
700	1073	457
701	1074	456
702	1076	454
703	1077	453
704	1078	451
705	1080	449
706	1081	448
707	1082	446
708	1084	445
709	1085	443
710	1086	441
711	1088	440
712	1089	438
713	1091	437
714	1092	435
715	1093	433
716	1095	432
717	1096	430
718	1097	429
719	1099	427
720	1100	425
721	1101	424
722	1102	422
723	1103	420
724	1105	419
725	1106	417
726	1108	416
727	1109	414
728	1111	413
729	1112	411
730	1113	409
731	1115	408
732	1116	406
733	1117	405
734	1118	403
735	1120	401
736	1122	400
737	1123	398
738	1125	397
739	1126	395
740	1128	394
741	1129	392
742	1131	391
743	1133	389
744	1134	388
745	1136	386
746	1137	385
747	1139	383
748	1141	382
749	1142	380
750	1144	379
751	1145	377
752	1146	376
753	1148	374
754	1149	373
755	1151	371
756	1152	370
757	1153	368
758	1155	366
759	1156	365
760	1157	363
761	1159	362
762	1160	360
763	1161	358
764	1163	357
765	1164	355
766	1165	354
767	1167	352
768	1168	351
769	1169	349
770	1171	347
771	1172	346
772	1173	344
773	1174	343
774	1176	341
775	1177	339
776	1178	338
777	1180	336
778	1181	335
779	1182	333
780	1184	332
781	1185	330
782	1186	328
783	1187	327
784	1189	325
785	1190	324
786	1191	322
787	1193	320
788	1194	319
789	1195	317
790	1197	316
791	1198	314
792	1199	313
793	1201	311
794	1202	310
795	1203	308
796	1204	306
797	1206	305
798	1207	303
799	1208	302
800	1210	300
801	1211	299
802	1213	297
803	1214	296
804	1216	294
805	1217	293
806	1219	291
807	1223	290
808	1224	289
809	1226	287
810	1228	286
811	1229	284
812	1230	283
813	1231	281
814	1233	279
815	1234	278
816	1235	276
817	1237	275
818	1238	273
819	1240	272
820	1241	270
821	1243	269
822	1244	267
823	1245	266
824	1246	264
825	1248	262
826	1249	261
827	1250	259
828	1252	258
829	1253	256
830	1254	255
831	1256	253
832	1258	252
833	1259	250
834	1260	249
835	1261	247
836	1263	245
837	1264	244
838	1266	243
839	1267	241
840	1271	240
841	1272	238
842	1274	237
843	1276	235
844	1277	234
845	1279	232
846	1281	231
847	1284	230
848	1289	229
849	1291	227
850	1294	226
851	1295	225
852	1298	223
853	1300	222
854	1302	220
855	1304	219
856	1305	217
857	1308	216
858	1310	215
859	1311	213
860	1313	212
861	1316	210
862	1318	209
863	1320	207
864	1321	206
865	1323	204
866	1325	203
867	1326	201
868	1328	200
869	1329	198
870	1331	197
871	1333	195
872	1334	194
873	1336	192
874	1337	191
875	1339	189
876	1340	188
877	1342	186
878	1343	184
879	1345	183
880	1347	181
881	1348	180
882	1351	179
883	1353	177
884	1354	176
885	1356	174
886	1357	172
887	1359	171
888	1361	169
889	1362	168
890	1364	166
891	1366	165
892	1368	163
893	1370	162
894	1371	160
895	1373	159
896	1374	157
897	1376	156
898	1377	154
899	1379	153
900	1380	151
901	1382	150
902	1383	148
903	1385	147
904	1386	145
905	1388	144
906	1389	142
907	1391	140
908	1393	139
909	1394	137
910	1396	136
911	1397	134
912	1398	133
913	1400	131
914	1401	130
915	1403	128
916	1405	127
917	1406	125
918	1408	124
919	1409	122
920	1411	121
921	1412	119
922	1414	117
923	1415	116
924	1417	114
925	1418	113
926	1421	111
927	1423	110
928	1424	108
929	1426	107
930	1428	105
931	1430	104
932	1432	102
933	1435	101
934	1438	99
935	1440	98
936	1441	96
937	1443	95
938	1446	93
939	1447	92
940	1450	90
941	1452	89
942	1455	87
943	1456	86
944	1458	84
945	1459	83
946	1460	81
947	1462	80
948	1463	78
949	1466	77
950	1467	75
951	1469	74
952	1470	72
953	1471	70
954	1473	69
955	1475	67
956	1476	66
957	1477	64
958	1480	63
959	1482	61
960	1483	60
961	1485	58
962	1486	57
963	1488	55
964	1489	54
965	1491	52
966	1492	50
967	1493	49
968	1495	47
969	1497	46
970	1498	44
971	1499	43
972	1501	41
973	1502	40
974	1504	38
975	1505	37
976	1507	35
977	1508	33
978	1510	32
979	1511	30
980	1513	29
981	1515	27
982	1516	26
983	1518	24
984	1519	23
985	1521	21
986	1522	20
987	1524	18
988	1526	16
989	1527	15
990	1528	13
991	1530	12
992	1531	10
993	1533	9
994	1534	7
995	1536	6
996	1537	4
997	1539	3
998	1540	1
999	1542	0
